City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
231,Talnakh,RU,69.4865,88.3972,18.19,97,98,1.05,overcast clouds
232,Kudahuvadhoo,MV,2.6708,72.8944,82.78,76,7,17.76,clear sky
233,Vagay,RU,57.9375,69.0217,31.41,84,100,7.76,overcast clouds
234,Korem,ET,12.5058,39.5228,55.36,76,88,2.37,overcast clouds
235,Gazli,UZ,40.1333,63.45,50.83,40,0,10.4,clear sky
236,Abdanan,IR,32.9926,47.4198,77.76,17,0,8.46,clear sky
237,Udachnyy,RU,66.4167,112.4,26.67,83,100,4.21,overcast clouds
238,Nioki,CD,-2.7167,17.6833,72.25,97,100,2.46,overcast clouds
239,Siva,EG,29.2041,25.5195,72.19,54,0,8.39,clear sky
240,Lavrentiya,RU,65.5833,-171.0,28.47,67,13,2.26,few clouds
241,Kuna,US,43.4918,-116.4201,84.49,20,1,1.01,haze
242,Tirano,IT,46.2154,10.1679,62.71,99,100,4.0,overcast clouds
243,Cartagena,CO,10.3997,-75.5144,85.62,74,75,3.44,broken clouds
244,Chau Doc,VN,10.7,105.1167,77.58,88,88,3.51,heavy intensity rain
245,Antofagasta,CL,-23.65,-70.4,58.28,79,23,8.63,few clouds
246,Kumla,SE,59.1277,15.1434,57.54,88,40,13.8,scattered clouds
247,Richards Bay,ZA,-28.783,32.0377,57.74,86,100,4.5,light rain
248,Fairbanks,US,64.8378,-147.7164,36.61,94,90,3.0,light snow
249,Hovd,MN,48.0056,91.6419,30.09,38,9,4.47,clear sky
250,Padang,ID,-0.9492,100.3543,73.45,87,91,3.36,overcast clouds
251,Okhotsk,RU,59.3833,143.3,35.06,66,5,23.29,clear sky
252,Oranjestad,AW,12.524,-70.027,85.95,78,20,3.0,few clouds
253,Beaverlodge,CA,55.2166,-119.4361,48.85,32,1,19.6,clear sky
254,Marienburg,PL,54.0359,19.0266,56.88,73,65,12.12,broken clouds
255,Bubaque,GW,11.2833,-15.8333,82.17,72,84,2.77,broken clouds
256,Hami,CN,42.8,93.45,45.43,34,0,2.59,clear sky
257,Denpasar,ID,-8.65,115.2167,76.71,88,20,2.3,few clouds
258,Gravdal,NO,68.1214,13.5031,51.24,83,100,26.08,light rain
259,Abapo,BO,-18.8333,-63.4667,68.31,70,71,4.79,broken clouds
260,Topeka,US,39.0483,-95.678,80.98,35,1,6.91,clear sky
261,Bodaybo,RU,57.8506,114.1933,30.74,91,92,1.43,overcast clouds
262,Berlevag,NO,70.8578,29.0864,48.69,77,100,37.89,light rain
263,Marystown,CA,47.1666,-55.1483,53.85,100,16,6.42,few clouds
264,Kholm-Zhirkovskiy,RU,55.5189,33.4731,41.83,86,100,4.23,light rain
265,Alghero,IT,40.5589,8.3181,62.69,88,0,3.44,clear sky
266,Sambava,MG,-14.2667,50.1667,69.21,92,41,8.43,light rain
267,Paamiut,GL,61.994,-49.6678,38.62,74,4,6.13,clear sky
268,Itoigawa,JP,37.0333,137.85,68.61,52,1,4.68,clear sky
269,Tessalit,ML,20.1986,1.0114,86.34,13,99,11.16,overcast clouds
270,Vraca,BA,43.8422,18.3955,51.85,77,3,4.38,clear sky
